0: c3_lazy_82,81,77,0
1: c3_lazy_82,78,77,0
2: c3_lazy_82,75,77,0
3: c3_lazy_82,76,77,0
4: c3_lazy_83,82,13,1
5: c3_lazy_83,80,13,1
6: c3_lazy_83,79,13,1
7: c3_lazy_83,1,13,1
8: c3_lazy_83,0,13,1
9: c3_lazy_84,83,6,2
10: c3_lazy_84,82,6,2
11: c3_lazy_84,81,6,2
12: c3_lazy_84,80,6,2
13: c3_lazy_84,78,6,2
14: c3_lazy_84,79,6,2
15: c3_lazy_84,1,6,2
16: c3_lazy_84,0,6,2
17: c3_lazy_84,3,6,2
18: c3_lazy_84,2,6,2
19: c4_lazy_13,0
20: c4_lazy_13,1
21: c5_lazy_13,0,1
22: c4_lazy_58,0
23: c4_lazy_58,1
24: c5_lazy_58,0,1
25: c4_lazy_45,0
26: c4_lazy_45,1
27: c5_lazy_45,0,1
28: c4_lazy_17,0
29: c4_lazy_17,1
30: c5_lazy_17,0,1
31: c4_lazy_79,0
32: c4_lazy_79,1
33: c5_lazy_79,0,1
34: c4_lazy_67,0
35: c4_lazy_67,1
36: c5_lazy_67,0,1
37: c4_lazy_3,0
38: c4_lazy_3,1
39: c5_lazy_3,0,1
40: c4_lazy_49,0
41: c4_lazy_49,1
42: c5_lazy_49,0,1
43: c4_lazy_75,0
44: c4_lazy_75,1
45: c5_lazy_75,0,1
46: c4_lazy_32,0
47: c4_lazy_32,1
48: c5_lazy_32,0,1
49: c4_lazy_27,0
50: c4_lazy_27,1
51: c5_lazy_27,0,1
52: c3_lazy_81,78,77,0
53: c3_lazy_81,79,77,0
54: c3_lazy_81,75,77,0
55: c3_lazy_81,76,77,0
56: c3_lazy_83,82,6,1
57: c3_lazy_83,81,6,1
58: c3_lazy_83,80,6,1
59: c3_lazy_83,1,6,1
60: c3_lazy_83,0,6,1
61: c3_lazy_83,3,6,1
62: c3_lazy_83,2,6,1
63: c3_lazy_83,4,6,1
64: c3_lazy_84,83,13,2
65: c3_lazy_84,81,13,2
66: c3_lazy_84,80,13,2
67: c3_lazy_84,78,13,2
68: c3_lazy_84,79,13,2
69: c3_lazy_84,1,13,2
70: c3_lazy_84,0,13,2
71: c4_lazy_13,0
72: c4_lazy_13,2
73: c5_lazy_13,0,2
74: c4_lazy_58,1
75: c4_lazy_58,2
76: c5_lazy_58,1,2
77: c4_lazy_45,0
78: c4_lazy_45,2
79: c5_lazy_45,0,2
80: c4_lazy_17,0
81: c4_lazy_17,2
82: c5_lazy_17,0,2
83: c4_lazy_79,1
84: c4_lazy_79,2
85: c5_lazy_79,1,2
86: c4_lazy_67,1
87: c4_lazy_67,2
88: c5_lazy_67,1,2
89: c4_lazy_3,0
90: c4_lazy_3,2
91: c5_lazy_3,0,2
92: c4_lazy_49,1
93: c4_lazy_49,2
94: c5_lazy_49,1,2
95: c4_lazy_75,1
96: c4_lazy_75,2
97: c5_lazy_75,1,2
98: c4_lazy_32,0
99: c4_lazy_32,2
